lon,lat,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,nbr_丰台区 ,nbr_大兴区 ,nbr_密云县 ,nbr_平谷区 ,nbr_延庆县 ,nbr_怀柔区 ,nbr_房山区,nbr_昌平区,nbr_朝阳区 ,nbr_海淀区,nbr_石景山区,nbr_西城区,nbr_通州区 ,nbr_门头沟区 ,nbr_顺义区 ,rt_Private room,rt_Shared room
116.33791,39.99006,268,1,128,5.44,1,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
116.42502,39.8628,785,2,109,1.94,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.49344,39.97616,396,2,30,0.6,5,351,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.45257,39.91979,188,1,18,0.32,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.28612,39.92259,356,3,0,0.0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
116.45269,39.91657,597,31,0,0.0,26,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.4552,39.91994,879,31,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.45609,39.91812,1154,30,0,0.0,26,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.33888,39.92082,698,31,0,0.0,26,365,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
116.45574,39.91844,799,30,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.45329,39.91678,651,31,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.36103,39.84902,235,7,3,0.05,11,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116.33543,39.92223,597,31,0,0.0,26,365,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
116.4528,39.91637,597,30,0,0.0,26,364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116.49851,39.91096,208,1,6,0.41,1,290,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.40949,39.97382,248,4,20,2.01,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116.36148,39.84212,141,1,22,0.41,11,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116.57145,39.90804,336,1,19,0.36,7,296,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
